KernelID,SMnum,Blocknum,BlockID,SMID,Start_time,End_time
5,2,240,50,1,615340.250000,665340.250000
5,2,240,51,0,615340.250000,665340.250000
5,2,240,52,0,615340.250000,665340.250000
5,2,240,53,0,615340.250000,665340.250000
5,2,240,54,1,615340.250000,665340.250000
5,2,240,55,1,615340.250000,665340.250000
5,2,240,56,0,615340.250000,665340.250000
5,2,240,57,1,615340.250000,665340.250000
5,2,240,58,0,615340.250000,665340.250000
5,2,240,59,0,615340.250000,665340.250000
5,2,240,60,1,615340.250000,665340.250000
5,2,240,61,1,615340.250000,665340.250000
5,2,240,62,0,615340.250000,665340.250000
5,2,240,63,0,615340.250000,665340.250000
5,2,240,64,1,665340.375000,715340.375000
5,2,240,65,0,665340.375000,715340.375000
5,2,240,66,1,665340.375000,715340.375000
5,2,240,67,0,665340.375000,715340.375000
5,2,240,68,1,665340.375000,715340.375000
5,2,240,69,0,665340.375000,715340.375000
5,2,240,70,0,665340.375000,715340.375000
5,2,240,71,1,665340.375000,715340.375000
5,2,240,72,0,665340.375000,715340.375000
5,2,240,73,0,665340.375000,715340.375000
5,2,240,74,1,665340.375000,715340.375000
5,2,240,75,0,665340.375000,715340.375000
5,2,240,76,1,665340.375000,715340.375000
5,2,240,77,1,665340.375000,715340.375000
5,2,240,78,1,665340.375000,715340.375000
5,2,240,79,0,665340.375000,715340.375000
5,2,240,80,1,665340.375000,715340.375000
5,2,240,81,0,665340.375000,715340.375000
5,2,240,82,1,665340.375000,715340.375000
5,2,240,83,1,665340.375000,715340.375000
5,2,240,84,0,665340.375000,715340.375000
5,2,240,85,0,665340.375000,715340.375000
5,2,240,86,0,665340.375000,715340.375000
5,2,240,87,1,665340.375000,715340.375000
5,2,240,88,0,665340.375000,715340.375000
5,2,240,89,1,665340.375000,715340.375000
5,2,240,90,0,665340.375000,715340.375000
5,2,240,91,0,665340.375000,715340.375000
5,2,240,92,1,665340.375000,715340.375000
5,2,240,93,0,665340.375000,715340.375000
5,2,240,94,1,665340.375000,715340.375000
5,2,240,95,1,665340.375000,715340.375000
5,2,240,96,1,715340.437500,765340.500000
5,2,240,97,0,715340.437500,765340.500000
5,2,240,98,1,715340.437500,765340.500000
5,2,240,99,1,715340.437500,765340.500000
5,2,240,100,0,715340.437500,765340.500000
5,2,240,101,0,715340.437500,765340.500000
5,2,240,102,1,715340.437500,765340.500000
5,2,240,103,1,715340.437500,765340.500000
5,2,240,104,0,715340.437500,765340.500000
5,2,240,105,0,715340.437500,765340.500000
5,2,240,106,0,715340.437500,765340.500000
5,2,240,107,1,715340.437500,765340.500000
5,2,240,108,1,715340.437500,765340.500000
5,2,240,109,1,715340.437500,765340.500000
5,2,240,110,0,715340.437500,765340.500000
5,2,240,111,1,715340.437500,765340.500000
5,2,240,112,0,715340.437500,765340.500000
5,2,240,113,1,715340.437500,765340.500000
5,2,240,114,0,715340.437500,765340.500000
5,2,240,115,0,715340.437500,765340.500000
5,2,240,116,0,715340.437500,765340.500000
5,2,240,117,0,715340.437500,765340.500000
5,2,240,118,1,715340.437500,765340.500000
5,2,240,119,0,715340.437500,765340.500000
